 Sent	Best	#Gold	#Best	#Corr	f-score
 979	16	22	22	22	1
 980	1	27	25	25	0.961538
 981	9	10	10	10	1
 982	7	11	11	11	1
 983	0	26	25	24	0.941176
 984	11	37	38	28	0.746667
 985	7	32	32	30	0.9375
 986	14	41	40	40	0.987654
 987	3	21	19	18	0.9
 988	20	28	26	26	0.962963
 989	22	18	18	15	0.833333
 990	21	15	15	15	1
 991	36	28	25	20	0.754717
 992	15	34	35	34	0.985507
 993	21	26	26	26	1
 994	2	26	29	25	0.909091
 995	28	38	37	33	0.88
 996	12	32	31	31	0.984127
 997	37	16	16	16	1
 998	21	18	17	14	0.8
 999	7	16	17	16	0.969697
 1000	1	16	16	16	1
 1001	12	25	26	25	0.980392
 1002	3	24	24	24	1
 1003	21	34	35	34	0.985507
 1004	1	24	24	24	1
 1005	13	24	23	23	0.978723
 1006	21	17	17	15	0.882353
 1007	37	20	19	19	0.974359
 1008	4	31	31	30	0.967742
 1009	2	14	14	14	1
 1010	8	12	12	11	0.916667
 1011	3	12	12	12	1
 1012	22	23	23	23	1
 1013	3	10	10	10	1
 1014	18	40	36	36	0.947368
 1015	0	17	17	17	1
 1016	7	27	27	27	1
 1017	6	14	14	14	1
 1018	1	35	35	35	1
 1019	16	21	21	21	1
 1020	3	26	26	26	1
 1021	34	22	21	20	0.930233
 1022	34	15	12	11	0.814815
 1023	3	9	9	9	1
 1024	13	16	16	15	0.9375
 1025	4	17	18	14	0.8
 1026	14	32	32	32	1
 1027	27	33	32	32	0.984615
 1028	15	13	13	13	1
 1029	21	35	33	31	0.911765
 1030	11	37	37	37	1
 1031	4	22	22	22	1
 1032	22	18	18	18	1
 1033	16	45	45	45	1
 1034	27	30	32	30	0.967742
 1035	11	26	26	25	0.961538
 1036	18	31	30	29	0.95082
 1037	15	13	13	13	1
 1038	4	22	22	22	1
 1039	18	16	16	16	1
 1040	37	27	27	27	1
 1041	8	11	11	11	1
 1042	15	36	37	33	0.90411
 1043	17	19	19	19	1
 1044	5	21	21	21	1
 1045	15	26	25	25	0.980392
 1046	12	15	15	15	1
 1047	2	32	32	32	1
 1048	36	26	19	18	0.8
 1049	6	18	17	17	0.971429
 1050	2	20	22	20	0.952381
 1051	23	13	13	13	1
 1052	3	34	33	31	0.925373
 1053	3	22	22	22	1
 1054	5	37	37	37	1
 1055	1	23	22	22	0.977778
 1056	8	10	10	10	1
 1057	11	20	20	17	0.85
 1058	21	14	14	14	1
 1059	0	31	31	31	1
 1060	20	32	32	32	1
 1061	5	14	14	14	1
 1062	20	35	37	35	0.972222
 1063	3	19	19	19	1
 1064	15	26	25	21	0.823529
 1065	27	27	27	27	1
 1066	3	8	8	8	1
 1067	2	8	8	8	1
 1068	1	28	23	23	0.901961
 1069	16	26	22	18	0.75
 1070	7	11	11	11	1
 1071	14	21	20	19	0.926829
 1072	3	10	10	10	1
 1073	28	17	17	17	1
 1074	9	13	12	10	0.8
 1075	37	22	22	22	1
 1076	11	7	7	7	1
 1077	21	20	19	17	0.871795
 1078	15	16	13	13	0.896552
 1079	0	13	13	13	1
 1080	22	6	6	6	1
 1081	4	14	14	14	1
 1082	0	10	10	10	1
 1083	0	12	13	12	0.96
 1084	11	12	11	11	0.956522
 1085	13	19	16	15	0.857143
 1086	18	11	11	11	1
 1087	7	12	12	12	1
 1088	11	13	13	10	0.769231
 1089	0	16	16	16	1
 1090	5	6	5	5	0.909091
 1091	1	4	4	4	1
 1092	8	17	17	17	1
 1093	4	13	13	13	1
 1094	4	6	6	6	1
 1095	3	6	6	6	1
 1096	7	9	9	9	1
 1097	8	14	14	14	1
 1098	2	8	8	8	1
 1099	20	15	14	14	0.965517
 1100	31	10	10	10	1
 1101	8	14	13	12	0.888889
 1102	27	24	24	24	1
 1103	0	10	10	10	1
 1104	10	14	14	14	1
 1105	31	10	11	10	0.952381
 1106	8	17	18	17	0.971429
 1107	19	27	27	27	1
 1108	0	10	10	10	1
 1109	0	8	8	8	1
 1110	4	31	35	26	0.787879
 1111	36	34	32	28	0.848485
 1112	27	22	22	22	1
 1113	6	20	20	19	0.95
 1114	69	20	23	15	0.697674
 1115	25	31	32	24	0.761905
 1116	17	35	32	32	0.955224
 1117	7	13	13	13	1
 1118	6	23	24	19	0.808511
 1119	2	15	17	13	0.8125
 1120	1	6	6	6	1
 1121	19	17	17	17	1
 1122	2	12	12	12	1
 1123	10	31	33	28	0.875
 1124	27	29	28	28	0.982456
 1125	37	33	33	33	1
 1126	36	44	47	37	0.813187
 1127	14	37	39	34	0.894737
 1128	37	20	20	20	1
 1129	1	19	19	19	1
 1130	1	29	29	29	1
 1131	9	10	10	10	1
 1132	23	22	22	22	1
 1133	28	39	39	39	1
 1134	4	14	14	14	1
 1135	17	16	16	16	1
 1136	5	13	13	13	1
 1137	27	16	17	16	0.969697
 1138	22	20	20	20	1
 1139	6	35	35	35	1
 1140	12	25	24	24	0.979592
 1141	18	42	42	35	0.833333
 1142	0	22	22	22	1
 1143	12	16	16	15	0.9375
 1144	5	27	25	24	0.923077
 1145	22	22	23	22	0.977778
 1146	30	41	40	35	0.864198
 1147	4	29	29	28	0.965517
 1148	38	24	23	21	0.893617
 1149	44	17	17	17	1
 1150	29	22	22	22	1
 1151	4	9	9	9	1
 1152	1	17	17	17	1
 1153	21	39	39	36	0.923077
 1154	9	32	32	31	0.96875
 1155	16	17	17	17	1
 1156	4	33	32	32	0.984615
 1157	12	9	9	8	0.888889
 1158	0	13	12	12	0.96
 1159	8	14	15	14	0.965517
 1160	3	10	10	10	1
 1161	6	19	19	19	1
 1162	22	21	22	20	0.930233
 1163	2	24	24	24	1
 1164	6	29	29	26	0.896552
 1165	3	11	11	11	1
 1166	33	19	19	19	1
 1167	1	19	19	19	1
 1168	1	11	11	11	1
 1169	3	19	19	19	1
 1170	2	18	16	15	0.882353
 1171	31	16	16	16	1
 1172	11	18	18	18	1
 1173	8	18	17	17	0.971429
 1174	36	24	22	16	0.695652
 1175	5	18	18	18	1
 1176	12	11	11	11	1
 1177	28	20	19	19	0.974359
 1178	6	11	11	11	1
 1179	15	18	18	18	1
 1180	0	20	20	20	1
 1181	0	35	33	33	0.970588
 1182	2	14	14	14	1
 1183	1	20	20	19	0.95
 1184	2	9	9	8	0.888889
 1185	4	20	20	20	1
 1186	16	26	26	22	0.846154
 1187	11	23	23	23	1
 1188	0	18	18	18	1
 1189	32	19	20	18	0.923077
 1190	35	19	19	15	0.789474
 1191	0	10	10	10	1
 1192	48	22	22	22	1
 1193	47	35	32	30	0.895522
 1194	2	11	11	11	1
 1195	3	23	23	23	1
 1196	10	11	11	11	1
 1197	10	21	21	21	1
 1198	22	29	29	28	0.965517
 1199	6	5	5	5	1
 1200	4	10	10	10	1
 1201	24	26	23	23	0.938776
 1202	17	18	18	18	1
 1203	22	26	25	25	0.980392
 1204	0	23	23	23	1
 1205	2	29	29	28	0.965517
 1206	6	16	15	15	0.967742
 1207	8	32	31	31	0.984127
 1208	4	26	25	23	0.901961
 1209	1	28	28	28	1
 1210	16	21	20	20	0.97561
 1211	8	29	29	29	1
 1212	36	32	31	28	0.888889
 1213	3	44	45	44	0.988764
 1214	3	8	8	8	1
 1215	14	30	30	30	1
 1216	9	13	12	12	0.96
 1217	8	10	10	10	1
 1218	38	20	21	15	0.731707
 1219	1	15	12	12	0.888889
 1220	14	32	32	31	0.96875
 1221	10	19	19	19	1
 1222	30	15	16	15	0.967742
 1223	16	27	27	27	1
 1224	43	20	20	19	0.95
 1225	14	20	20	20	1
 1226	1	8	8	8	1
 1227	8	16	15	14	0.903226
 1228	8	21	21	21	1
 1229	1	14	15	14	0.965517
 1230	21	15	15	14	0.933333
 1231	8	45	45	44	0.977778
 1232	3	22	22	22	1
 1233	25	19	19	18	0.947368
 1234	15	31	32	31	0.984127
 1235	6	23	23	23	1
 1236	7	12	12	12	1
 1237	0	7	7	7	1
 1238	0	19	19	19	1
 1239	15	20	20	20	1
 1240	17	13	13	13	1
 1241	3	22	22	22	1
 1242	3	11	11	11	1
 1243	19	26	27	24	0.90566
 1244	2	23	24	23	0.978723
 1245	6	16	16	16	1
 1246	3	22	22	21	0.954545
 1247	13	23	23	23	1
 1248	4	12	12	12	1
 1249	5	14	15	14	0.965517
 1250	6	13	14	13	0.962963
 1251	6	7	7	5	0.714286
 1252	1	4	4	4	1
 1253	36	36	36	33	0.916667
 1254	18	23	22	19	0.844444
 1255	19	19	20	18	0.923077
 1256	15	31	31	27	0.870968
 1257	7	32	30	29	0.935484
 1258	5	18	18	18	1
 1259	16	44	41	39	0.917647
 1260	7	23	24	23	0.978723
 1261	17	38	40	37	0.948718
 1262	13	14	15	14	0.965517
 1263	14	14	14	14	1
 1264	28	19	19	19	1
 1265	0	18	18	18	1
 1266	0	25	26	25	0.980392
 1267	20	12	12	12	1
 1268	0	26	23	19	0.77551
 1269	19	19	18	17	0.918919
 1270	8	23	23	22	0.956522
 1271	14	16	16	16	1
 1272	3	40	38	30	0.769231
 1273	11	12	12	12	1
 1274	0	22	23	22	0.977778
 1275	3	6	6	6	1
 1276	3	14	14	14	1
 1277	2	35	35	32	0.914286
 1278	7	18	18	18	1
 1279	0	3	3	3	1
 1280	6	5	5	5	1
 1281	19	21	21	21	1
 1282	39	29	28	24	0.842105
 1283	26	34	34	34	1
 1284	5	19	19	19	1
 1285	1	17	17	17	1
 1286	4	19	19	19	1
 1287	8	15	15	15	1
 1288	0	17	19	17	0.944444
 1289	3	23	23	23	1
 1290	35	18	18	18	1
 1291	8	24	25	24	0.979592
 1292	6	7	7	7	1
 1293	30	20	20	20	1
 1294	23	27	27	24	0.888889
 1295	0	6	6	6	1
 1296	10	18	18	18	1
 1297	11	12	12	9	0.75
 1298	3	15	15	15	1
 1299	12	13	13	13	1
 1300	2	26	23	23	0.938776
 1301	6	29	29	28	0.965517
 1302	10	8	8	8	1
 1303	12	11	11	11	1
 1304	6	43	43	43	1
 1305	12	13	13	13	1
 1306	0	43	46	34	0.764045
 1307	2	13	13	13	1
 1308	11	12	12	12	1
 1309	25	14	14	14	1
 1310	37	24	25	24	0.979592
 1311	9	12	12	12	1
 1312	7	7	7	7	1
 1313	7	26	26	26	1
 1314	43	30	29	29	0.983051
 1315	0	31	31	30	0.967742
 1316	46	26	25	21	0.823529
 1317	34	31	33	31	0.96875
 1318	12	19	19	19	1
 1319	18	16	16	15	0.9375
 1320	11	9	9	9	1
 1321	1	18	18	18	1
 1322	19	26	26	26	1
 1323	20	22	22	22	1
 1324	10	12	12	12	1
 1325	1	7	8	7	0.933333
 1326	43	37	35	32	0.888889
 1327	35	32	35	30	0.895522
 1328	0	23	23	23	1
 1329	12	13	13	13	1
 1330	0	51	53	49	0.942308
 1331	48	14	14	14	1
 1332	16	35	40	35	0.933333
 1333	1	32	30	26	0.83871
 1334	21	25	26	25	0.980392
 1335	12	31	31	29	0.935484
 1336	12	8	8	8	1
 1337	7	41	38	38	0.962025
 1338	2	21	22	20	0.930233
 1339	25	37	37	37	1
 1340	2	32	32	32	1
 1341	27	31	31	31	1
 1342	29	23	23	23	1
 1343	3	9	9	9	1
 1344	39	18	17	17	0.971429
 1345	7	25	25	25	1
 1346	24	28	26	25	0.925926
The corpus contains 1346 sentences, of which 1345 were parsed.
Oracle precision = 24301/25519 = 0.952271, recall = 24301/25729 = 0.944498, f-score = 0.948369.
